,DK1-offshore,DK1-offshore,DK1-offshore,DK1-offshore,DK1-onshore,DK1-onshore,DK1-onshore,DK1-onshore,DK2-offshore,DK2-offshore,DK2-offshore,DK2-offshore,DK2-onshore,DK2-onshore,DK2-onshore,DK2-onshore
2024-09-18 17:00:00,-44.926873292780925,45.16960233749228,103.72315171493437,153.7143905294846,34.84961698402094,94.48414676969844,133.83930689616352,175.35976992989376,16.613146083550077,322.05091564845316,404.223650660394,501.9598099335408,11.20282878784991,29.4394037679059,40.79513798148446,56.734047211634675
2024-09-18 18:00:00,-8.405763012568258,73.53820890333361,120.42831800104511,171.58196119125773,70.36494346484278,151.9477503990172,206.57988677811284,284.7802308936255,16.52007796417581,313.6312447138889,390.96931562456666,485.3245112898135,23.83655611717427,48.50552842011598,62.091191527250885,78.02090114303292
2024-09-18 19:00:00,18.96817041652139,102.53405968482889,144.59376605346438,196.0925928508666,110.486290880296,228.95577545895844,310.20721294858845,436.78878629212113,15.694218919934087,290.047503698941,362.6593062525137,456.9632927889347,34.24343602934414,69.65124458494142,86.16200604012818,105.522753124872
2024-09-18 20:00:00,32.35190556270925,120.99963421088432,161.37324691011509,212.39543223594137,140.10459430229366,286.8526250295647,381.8298594766716,536.9224212804353,13.972993596952335,256.51668958784603,331.6202300327068,435.83729100593973,39.84937678395238,84.49478669338714,103.42691037921463,125.98324990146011
2024-09-18 21:00:00,33.7831474219812,120.36287905430072,158.12575835892778,206.9532038168029,146.98232118934334,296.3563284569234,393.8083374968803,551.0444708555668,13.392536289809016,235.14787528683541,313.6448583362885,427.3670169717475,40.20399044753594,87.76715006981999,107.27140739545644,130.49802666677192
2024-09-18 22:00:00,28.541852654225465,107.38886021755127,142.8985097482912,188.37590518162938,138.47614130849456,275.6646648821611,366.6894009153168,509.0997030410782,13.912759898798072,229.57670796812158,307.9500336682752,425.2649741718026,38.85501376981506,84.65598881570645,103.5850165626573,125.76182919032408
2024-09-18 23:00:00,0.5403690408518571,62.63873546854222,99.15861751552461,132.41489527353656,143.0407742204734,252.98058835344932,333.2868478627155,470.1360106737907,12.020522734319627,179.4590661991557,237.2253489311522,327.17305238540484,33.87099092211406,74.87953315606069,91.67026657000702,110.40205302260529
2024-09-19 00:00:00,-20.654860757736998,39.31555611100998,76.48550265341817,105.30721210658567,133.03628592955295,225.1282944054028,294.4555973771809,409.7054308788411,13.561431321256237,172.74836241395462,220.56937945885636,286.9144671964052,32.22810705729512,69.84402229908392,85.89639432690376,103.0401208499884
2024-09-19 01:00:00,-41.999240052442815,21.998235803202874,63.75541312705741,90.52851396064966,120.4525346445921,194.0006953218358,251.3673293830334,343.48248176467496,16.157035363817272,193.09882229465052,238.28213456559536,293.74010423074174,33.09116165204307,70.00496983802498,86.55234990578526,103.52798157292091
2024-09-19 02:00:00,-51.6595789954082,9.812045050182405,52.78949151849838,76.14404690018421,106.00199761329941,167.69551594469988,216.05777499961175,287.9017328684298,16.969761147272607,212.70868802756615,263.1093056705563,320.15397744231245,35.82526577940541,75.18435761392823,92.2283151976875,110.06644918577058
2024-09-19 03:00:00,-44.56476222440287,4.274507476230156,40.40607818109481,58.18561640729331,94.3621517331211,151.25091804988665,195.82001797076396,256.156797524465,16.87939130643116,229.2717481833049,283.1964671220762,347.1473411382635,38.96661203655822,80.96739981263045,98.38612935766128,117.57276948906542
2024-09-19 04:00:00,-42.226433504084014,2.9504075089350295,37.04157514597375,52.34133922505646,88.28578389908841,148.45380626671442,190.75213003434453,249.06929729644764,16.18687432040366,241.2221730468964,298.79330964183623,371.90238209051086,42.012989367525506,86.39692191223241,104.27211569956171,125.18485278582489
2024-09-19 05:00:00,-44.534780532130554,6.417111584257896,42.731440497560584,59.97210219140686,93.93840546583283,153.4133112600183,198.41477268029837,262.63742444717786,15.610975617637962,250.30416527425996,307.73130131752623,385.2899328921826,45.13904398965917,91.73763917851852,110.03335250796295,132.1807736425685
2024-09-19 06:00:00,-53.07377243023157,16.286227217108944,61.454564258755454,87.94712007817611,102.54186427222044,168.29001593362386,218.39175667010306,295.8302673311704,15.952946395902018,258.6898866249044,314.65463058938144,391.39636638564866,46.29654900353057,93.8802307695421,112.4205727117369,135.21371167329835
2024-09-19 07:00:00,-22.281824235790538,42.13673805193491,79.47212753931342,109.61700708302237,113.63130186436513,188.51392741497534,245.37166031674633,339.2787723697869,16.057811597623584,264.0843175726545,318.49615638090313,395.30044686211704,45.63230684847235,94.33745975934744,113.03031884168377,136.1241301712946
2024-09-19 08:00:00,1.4129787638034657,65.71837646197832,96.63409910093424,128.55341363160574,117.11270154634735,183.44734130315078,236.88499283102522,327.49291317754444,16.29215518188289,271.8659993118065,328.98406637053677,407.74069219343573,35.30092289537197,74.660363499965,90.81667065689157,108.45945700402171
2024-09-19 09:00:00,4.011345413228355,67.66893489220286,96.45288040529442,127.02284327248094,106.61486641110855,140.70076720493068,177.8673103468052,231.5531109241213,16.058229028176754,287.1831763901648,350.9542439535719,440.544083980536,20.41389834530503,44.93103771960341,57.81605991126844,69.33158278751466
2024-09-19 10:00:00,-17.52504211184919,40.780493370003,70.83823026856749,96.2844320984816,88.31959091571002,103.20330899851967,129.25484195203467,148.28890782286174,14.67561485888075,309.1209603459565,388.2864773246197,493.42876297807607,12.83340039552752,30.2151359421332,42.8426733078835,52.55062375846933
